id,customer_id,employee_id,product_id,transaction_date,quantity,discount_amount,reward_point
1,456,1,113,47:29.0,3,0,2.41
2,630,2,1249,34:55.0,8,0,7.12
3,1026,1,509,48:54.0,7,0,12.5
4,1139,4,1898,53:44.0,6,0,5.43
5,414,20,1068,53:50.0,1,0,0.31
6,1076,20,1464,47:23.0,5,0,6.29
7,212,2,254,36:26.0,6,0,2
8,385,20,1564,36:09.0,9,0,5.26
9,1749,5,357,17:19.0,7,0,0.79
10,659,4,1709,04:53.0,4,0,6.76
11,433,4,310,12:50.0,1,0,0.78
12,1759,7,731,38:17.0,4,0,2.38
13,454,5,1220,18:59.0,7,0,13
14,1217,5,1231,34:54.0,3,0,4.56
15,1616,7,286,14:53.0,9,5.34,15.77
16,755,20,524,54:24.0,9,0,11.67
17,1018,5,1510,30:25.0,6,0,9.16
18,574,1,1300,53:57.0,5,0,4.23
19,1173,7,1615,39:21.0,6,21.6,6.02
20,1685,10,1577,47:04.0,1,0,1.98
21,1375,4,785,33:42.0,2,0,2.35
22,582,2,464,07:01.0,7,0,4.34
23,316,17,742,13:13.0,10,0,3.65
24,1499,10,915,40:44.0,8,0,15.73
25,1397,13,1644,03:46.0,5,11.52,8.08
26,910,7,827,19:20.0,10,0,5.91
27,74,10,1212,26:43.0,8,0,1.25
28,59,7,158,59:36.0,2,0,2.11
29,1940,17,701,02:38.0,9,23.56,6.68
30,446,13,326,26:23.0,6,0,4.22
31,213,7,1144,16:20.0,4,0,5.4
32,321,7,1951,14:41.0,4,35.91,4.82
33,1665,4,226,31:25.0,3,0,4.8
34,346,1,371,18:24.0,8,0,10.3
35,1740,17,1739,22:46.0,3,0,1.28
36,1064,17,994,40:45.0,8,33.73,7.4
37,1323,2,663,37:04.0,3,0,2.56
38,1728,10,94,56:48.0,8,46.51,12.4
39,1750,5,1525,40:25.0,9,0,8.88
40,725,7,840,45:21.0,7,0,5.41
41,1160,1,509,22:28.0,6,0,11.37
42,1945,13,50,14:48.0,7,3.95,10.56
43,95,7,1722,29:25.0,1,0,0.79
44,392,2,744,18:19.0,4,0,3.63
45,1845,1,1104,20:09.0,10,32.11,17.47
46,217,10,1319,17:49.0,1,0,1.68
47,1662,17,1955,34:19.0,6,0,11.97
48,907,13,51,01:46.0,3,19.67,2.74
49,1239,10,981,06:20.0,1,0,1.52
50,1323,10,1180,09:51.0,1,0,1.78
51,1692,20,1255,32:10.0,9,0,6.79
52,1985,10,1822,40:42.0,6,0,1.42
53,897,4,101,31:25.0,10,0,4.97
54,958,20,424,09:41.0,9,0,15.18
55,63,13,1359,35:44.0,3,0,1.93
56,1643,2,327,18:56.0,8,0,1.16
57,621,7,745,52:56.0,5,0,4.38
58,637,7,237,32:06.0,1,0,0.8
59,1788,5,782,37:18.0,2,0,3.43
60,1830,4,1673,18:34.0,7,0,3.66
61,184,10,1909,23:15.0,6,0,8.49
62,1195,10,1964,18:44.0,7,0,8.5
63,1807,10,1334,15:14.0,6,0,8.13
64,296,10,1754,22:05.0,8,0,14.76
65,489,7,1217,25:13.0,2,0,2.7
66,1541,2,933,31:42.0,1,20.93,0.22
67,420,20,1443,12:17.0,7,0,8.31
68,1911,20,1568,50:10.0,10,0,11.52
69,1653,10,1468,24:13.0,3,18.35,5.43
70,701,20,1357,24:04.0,10,0,5.79
71,1470,17,316,51:16.0,4,5.86,7.07
72,274,4,598,54:48.0,10,0,11.66
73,1115,17,815,55:30.0,7,0,12.65
74,922,20,580,15:38.0,8,0,7.57
75,636,4,378,50:49.0,3,0,2.96
76,1744,13,903,43:06.0,2,28.57,2.98
77,437,1,1850,09:26.0,3,0,2.01
78,509,17,263,00:28.0,4,0,6.98
79,1278,4,485,58:42.0,2,0,0.43
80,1731,13,49,45:46.0,9,0,9.31
81,1587,1,1968,20:06.0,1,0,1.85
82,786,1,635,54:26.0,5,0,6.29
83,1509,1,383,34:19.0,3,32.24,0.34
84,1719,4,1237,15:59.0,6,0,9.24
85,1164,2,1896,57:05.0,5,0,0.57
86,1817,17,1267,48:38.0,1,44.93,1.18
87,1035,7,1728,23:55.0,4,0,0.6
88,1764,20,964,44:48.0,6,0,2.92
89,1663,1,1207,01:03.0,2,0,0.6
90,126,7,1567,22:44.0,2,0,2.71
91,537,7,1382,26:26.0,1,11.15,1.8
92,856,13,579,29:55.0,1,0,1.95
93,174,20,1129,06:11.0,6,0,3
94,436,10,561,16:46.0,1,0,1.05
95,239,4,1437,40:51.0,8,0,2.25
96,1014,2,1046,35:50.0,8,9.6,2.74
97,471,2,545,30:55.0,6,0,8.25
98,933,4,288,20:43.0,4,0,1.6
99,440,4,1564,13:40.0,1,0,1.82
100,1479,17,354,09:47.0,2,0,2.9
101,695,7,906,30:25.0,5,0,6.4
102,859,4,928,40:04.0,9,0,3.04
103,970,17,533,13:23.0,2,0,3.96
104,724,5,1068,26:20.0,4,0,2.78
105,512,7,1188,26:42.0,6,24.85,5.26
106,459,1,1742,45:19.0,4,0,4.82
107,1575,10,958,27:22.0,1,24.03,1.15
108,967,2,1677,22:47.0,1,0,0.79
109,732,13,177,25:22.0,4,0,0.39
110,937,13,1091,39:28.0,9,0,4.63
111,1261,4,256,08:59.0,6,0,10.79
112,1058,2,727,11:26.0,2,33.7,3.11
113,1793,2,1629,03:22.0,1,0,0.97
114,982,13,973,37:41.0,3,0,1.67
115,124,20,1180,24:15.0,5,22.08,4.33
116,1534,7,1872,35:28.0,1,0,1.97
117,1639,4,1806,37:56.0,10,0,19.92
118,1566,4,1984,11:53.0,3,0,2.23
119,1429,10,1952,21:37.0,4,0,6.82
120,1059,5,1824,05:03.0,7,0,2.84
121,1878,20,1911,32:40.0,6,0,2.38
122,739,10,472,13:42.0,2,0,2.51
123,1023,10,1332,22:26.0,10,25.56,19.99
124,522,1,71,28:56.0,1,0,1.19
125,1319,17,1099,00:14.0,10,0,17.86
126,762,10,174,11:21.0,9,24.59,8.45
127,1246,13,662,25:42.0,3,0,3.68
128,19,4,837,38:45.0,10,0,4.77
129,911,5,1519,06:44.0,8,0,10.13
130,1817,17,1737,21:01.0,5,0,7.91
131,1367,5,1176,19:52.0,10,0,13.92
132,1017,17,1791,47:00.0,5,27.52,9.75
133,1849,10,1437,01:37.0,4,0,5.66
134,1304,7,69,45:50.0,6,0,5.39
135,346,10,1290,30:45.0,4,0,6.5
136,161,5,869,38:06.0,7,0,8.54
137,1828,7,839,13:24.0,9,11.15,7.09
138,912,20,583,10:42.0,5,0,2.01
139,457,17,994,56:17.0,2,0,3.28
140,139,4,292,56:23.0,6,0,6.19
141,1876,5,1545,21:45.0,6,0,7.95
142,524,1,176,20:40.0,9,0,2.67
143,1336,17,790,09:09.0,3,0,0.18
144,117,1,679,15:02.0,8,0,15.84
145,1740,13,475,37:10.0,4,34.8,2.02
146,1875,2,1039,43:06.0,4,0,5.63
147,409,10,1909,12:49.0,7,0,5.55
148,1937,20,826,48:56.0,2,0,1.4
149,891,17,1834,19:16.0,4,0,0.09
150,8,20,1233,28:53.0,3,33.21,0.48
151,1114,5,152,44:18.0,7,0,7.22
152,329,2,1930,21:23.0,3,0,5.65
153,213,10,1932,47:09.0,1,14.9,0.88
154,522,2,1198,09:45.0,8,0,0.37
155,351,10,424,42:07.0,4,0,5.73
156,1991,7,70,26:18.0,7,0,3.66
157,704,5,1575,15:12.0,3,0,3.49
158,94,20,38,53:26.0,10,34.2,18.35
159,401,2,199,29:49.0,6,0,9
160,1861,17,1356,57:47.0,7,0,2.79
161,1490,20,312,15:28.0,4,0,6.83
162,1987,2,61,27:58.0,5,0,3.88
163,1815,2,75,10:03.0,10,48.17,2.9
164,1282,20,1952,13:28.0,6,0,7.73
165,752,2,60,55:51.0,5,0,5.77
166,981,10,1258,42:34.0,6,0,0.34
167,1342,5,1189,48:35.0,2,0,1.83
168,282,7,665,22:51.0,5,0,6.89
169,433,4,1153,31:39.0,3,0,1.2
170,1815,4,333,09:35.0,5,0,2.73
171,1576,10,1225,35:35.0,4,0,5.75
172,1180,17,1761,56:51.0,4,0,6.59
173,1078,13,349,45:19.0,4,0,6.13
174,341,7,335,19:48.0,1,0,0.36
175,802,10,509,14:58.0,7,0,6.02
176,1277,13,552,01:13.0,4,0,1.48
177,1539,17,57,00:46.0,1,44.33,0.84
178,1924,4,1506,17:24.0,2,0,1.86
179,785,7,1039,27:05.0,2,0,3.46
180,144,17,55,37:03.0,1,0,1.49
181,212,20,1137,17:44.0,4,31.86,1.13
182,45,20,890,51:20.0,5,0,1.6
183,935,7,1529,13:22.0,3,39.15,5.97
184,310,13,281,17:06.0,3,0,1.05
185,1781,1,207,10:12.0,5,0,6.45
186,358,7,196,30:02.0,9,0,8.39
187,1847,5,1231,18:29.0,6,0,11.54
188,1415,7,156,15:21.0,3,18.81,3.09
189,886,1,1180,56:40.0,8,0,12.43
190,948,17,383,15:17.0,3,0,1.68
191,461,4,669,51:52.0,2,0,3.55
192,134,1,690,50:40.0,2,0,2.68
193,660,20,271,01:21.0,10,0,0.27
194,380,4,1475,52:15.0,7,0,13.72
195,678,5,345,15:17.0,6,0,6.07
196,554,10,140,16:00.0,7,0,12.97
197,433,2,123,29:58.0,1,0,0.18
198,1178,5,1468,17:39.0,10,2.86,12.2
199,39,13,1494,33:49.0,2,0,3.53
200,1233,4,1267,41:43.0,7,0,5.55
201,190,5,736,09:04.0,9,0,10.42
202,1016,4,1358,22:47.0,6,0,3.57
203,1504,5,1955,01:50.0,4,0,4.87
